Series Name,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"Primary completion rate, female (% of relevant age group)",China,CHN,..,..,..,..,..,..,..,..,..,..,..,..
"Primary completion rate, female (% of relevant age group)",Colombia,COL,86.86042786,98.6861496,115.2384033,109.1177979,99.07472229,98.60758209,99.43528748,101.1494675,105.9745102,106.3833237,..,..
"Primary completion rate, female (% of relevant age group)",Comoros,COM,..,..,..,..,76.65895844,80.48532104,..,..,77.23446655,..,..,..
"Primary completion rate, female (% of relevant age group)","Congo, Dem. Rep.",COD,..,..,54.94470978,60.60848999,62.68452072,..,70.33310699,..,..,..,..,..
"Primary completion rate, female (% of relevant age group)","Congo, Rep.",COG,58.22999954,..,74.24105072,75.90187836,..,..,..,..,..,..,..,..
"Primary completion rate, female (% of relevant age group)",Costa Rica,CRI,..,89.54873657,105.7038116,103.4794998,99.00431061,98.14424133,99.89063263,98.15663147,97.52011108,99.1428299,102.4376221,..
"Primary completion rate, female (% of relevant age group)",Cote d'Ivoire,CIV,32.27518082,33.43849182,47.14712143,46.50365067,46.73023987,48.2264595,54.33404922,58.38893127,64.68260956,69.3493576,75.1386795,..
"Primary completion rate, female (% of relevant age group)",Croatia,HRV,..,90.21923828,92.90001678,92.57987213,95.06179047,97.66146088,103.4790421,101.6336212,94.53117371,95.40106201,..,..
"Primary completion rate, female (% of relevant age group)",Cuba,CUB,..,95.532341,96.1026001,94.95478058,94.77935028,99.73029327,97.86981964,93.37153625,90.33091736,84.53137207,87.06481934,..
"Primary completion rate, female (% of relevant age group)",Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..
"Primary completion rate, female (% of relevant age group)",Cyprus,CYP,78.72302246,97.27323151,101.5515671,99.69033051,97.85682678,100.0972137,97.79705048,98.93182373,101.156868,101.8606796,..,..
"Primary completion rate, female (% of relevant age group)",Czech Republic,CZE,..,99.95540619,103.1950226,100.4629288,100.2466888,98.30654144,96.10888672,97.4783783,97.50189972,98.78359222,..,..
"Primary completion rate, female (% of relevant age group)",Denmark,DNK,95.66960144,99.89109039,99.68856812,98.99672699,100.0060272,99.23007202,98.30832672,102.6611099,102.89711,100.6042023,..,..
"Primary completion rate, female (% of relevant age group)",Djibouti,DJI,..,21.79700089,54.48617172,..,50.75242996,60.25267029,67.06703949,69.2826004,66.35028839,69.90912628,..,65.1699295
"Primary completion rate, female (% of relevant age group)",Dominica,DMA,..,125.5284576,93.40836334,96.5870285,96.37680817,104.2635727,111.5226288,115.5982895,..,..,..,..
"Primary completion rate, female (% of relevant age group)",Dominican Republic,DOM,..,82.91963959,94.05438232,94.61763763,94.85571289,94.73499298,97.85758209,96.55679321,94.3535614,92.58232117,92.71904755,..
"Primary completion rate, female (% of relevant age group)",Ecuador,ECU,..,97.85090637,108.2558594,109.2476578,109.5742569,113.0219803,106.9524994,103.9888306,106.0290985,104.9208374,..,..
"Primary completion rate, female (% of relevant age group)","Egypt, Arab Rep.",EGY,..,88.18682098,..,..,100.9830322,..,..,97.67212677,97.62610626,101.6332397,105.4345779,..
"Primary completion rate, female (% of relevant age group)",El Salvador,SLV,..,88.96942902,103.2940598,103.4764175,102.0419312,100.4863892,95.2466507,92.30351257,90.36914063,85.81394958,..,..
"Primary completion rate, female (% of relevant age group)",Equatorial Guinea,GNQ,..,39.436409,43.26525879,44.79666138,..,..,41.79885101,..,..,..,..,..
"Primary completion rate, female (% of relevant age group)",Eritrea,ERI,..,43.74544144,66.82819366,59.91452026,55.97177124,..,58.45610809,..,60.4193306,56.17720032,..,..
"Primary completion rate, female (% of relevant age group)",Estonia,EST,..,96.56324768,101.3024597,102.4545517,103.6138229,99.70684814,99.06166077,98.19062805,97.42516327,95.47147369,..,..
"Primary completion rate, female (% of relevant age group)",Eswatini,SWZ,64.09694672,71.49549866,84.04152679,85.91433716,86.24212646,86.0026474,89.45185089,94.75092316,97.14264679,95.57280731,..,..
"Primary completion rate, female (% of relevant age group)",Ethiopia,ETH,..,15.81700993,50.28746033,50.51939011,..,53.01525879,52.99047089,..,..,..,..,..
"Primary completion rate, female (% of relevant age group)",Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..
"Primary completion rate, female (% of relevant age group)",Fiji,FJI,..,93.91744232,104.1955185,106.8023605,106.2011337,..,110.7529678,106.3197021,..,..,..,..
"Primary completion rate, female (% of relevant age group)",Finland,FIN,101.7636795,96.41261292,98.16593933,100.2712173,98.62531281,98.87330627,98.7106781,101.1057281,101.1236725,100.7613373,..,..
"Primary completion rate, female (% of relevant age group)",France,FRA,..,..,..,..,..,..,..,..,..,..,..,..
"Primary completion rate, female (% of relevant age group)",French Polynesia,PYF,..,..,..,..,..,..,..,..,..,..,..,..
"Primary completion rate, female (% of relevant age group)",Gabon,GAB,..,..,..,..,..,..,..,..,..,..,..,..
"Primary completion rate, female (% of relevant age group)","Gambia, The",GMB,..,59.52946854,64.9731369,65.86605072,67.95442963,68.68222046,69.86334229,71.70182037,..,..,84.03160095,..
"Primary completion rate, female (% of relevant age group)",Georgia,GEO,..,120.1861115,..,101.5631485,104.3637238,103.5867004,102.8498611,114.7627106,113.9880981,96.34047699,94.10443878,..
"Primary completion rate, female (% of relevant age group)",Germany,DEU,..,104.0380173,101.3035965,98.82685089,98.30922699,97.24284363,98.98635101,98.30187988,99.11704254,101.5877686,..,..
"Primary completion rate, female (% of relevant age group)",Ghana,GHA,..,64.7265625,85.29878998,104.0979538,93.81213379,92.7401123,98.38964844,..,94.48327637,94.60922241,..,..
"Primary completion rate, female (% of relevant age group)",Gibraltar,GIB,..,..,..,..,..,..,..,95.25862122,93.88645935,..,106.2222214,..
"Primary completion rate, female (% of relevant age group)",Greece,GRC,..,..,91.91253662,95.87631226,93.81137848,95.28411865,96.39531708,96.44103241,95.91126251,97.54270172,..,..
"Primary completion rate, female (% of relevant age group)",Greenland,GRL,..,..,..,..,..,..,..,..,..,..,..,..
"Primary completion rate, female (% of relevant age group)",Grenada,GRD,..,..,..,..,104.1984711,..,..,..,113.4816818,120.8596725,..,..
"Primary completion rate, female (% of relevant age group)",Guam,GUM,..,..,..,..,..,..,..,..,..,..,..,..
"Primary completion rate, female (% of relevant age group)",Guatemala,GTM,..,50.73994064,84.73590851,84.25258636,84.48105621,83.84339905,82.0851593,79.18834686,79.5324173,79.41378784,79.33952332,..
"Primary completion rate, female (% of relevant age group)",Guinea,GIN,8.185830116,19.5387001,..,53.81919098,54.54647827,55.98939896,..,51.20038986,..,..,..,..
"Primary completion rate, female (% of relevant age group)",Guinea-Bissau,GNB,..,20.23877907,..,..,..,..,..,..,..,..,..,..
"Primary completion rate, female (% of relevant age group)",Guyana,GUY,..,108.7942276,96.6171875,95.54665375,..,..,..,..,..,..,..,..
"Primary completion rate, female (% of relevant age group)",Haiti,HTI,..,..,..,..,..,..,..,..,..,..,..,..
"Primary completion rate, female (% of relevant age group)",Honduras,HND,..,..,90.22033691,89.96846771,83.39466858,79.12477875,..,81.28151703,82.71173859,..,81.74887848,..
"Primary completion rate, female (% of relevant age group)","Hong Kong SAR, China",HKG,..,..,..,100.5344467,98.48297119,101.6987915,103.7800522,103.3281174,103.565712,105.6899185,108.5681534,..
"Primary completion rate, female (% of relevant age group)",Hungary,HUN,82.45835876,95.64594269,99.00038147,97.38585663,98.06533813,96.40702057,96.93251801,98.40878296,104.8769608,99.73872375,..,..
"Primary completion rate, female (% of relevant age group)",Iceland,ISL,..,96.18623352,99.14366913,101.9166336,102.5849686,96.59635925,96.97115326,100.4314499,101.1820297,97.68089294,..,..
"Primary completion rate, female (% of relevant age group)",India,IND,..,63.95323944,93.60028839,..,99.31997681,100.3877716,100.4220886,98.50704956,96.2924881,..,93.26248169,..
"Primary completion rate, female (% of relevant age group)",Indonesia,IDN,..,..,..,104.6191025,102.7202988,100.5479584,..,..,100.1938171,101.6394424,..,..
"Primary completion rate, female (% of relevant age group)","Iran, Islamic Rep.",IRN,78.44365692,88.52866364,97.8520813,96.31893921,..,..,97.54351044,100.6052475,99.08995056,..,..,..
"Primary completion rate, female (% of relevant age group)",Iraq,IRQ,..,50.59043884,..,..,..,..,..,..,..,..,..,..
"Primary completion rate, female (% of relevant age group)",Ireland,IRL,..,96.45503998,..,..,99.51770782,100.587059,99.31555939,100.4313431,99.41789246,97.20471954,..,..
"Primary completion rate, female (% of relevant age group)",Isle of Man,IMN,..,..,..,..,..,..,..,..,..,..,..,..
"Primary completion rate, female (% of relevant age group)",Israel,ISR,..,..,102.5472107,108.0343399,103.2863235,104.1626587,111.4418411,103.7975998,106.3743515,102.8225098,..,..
"Primary completion rate, female (% of relevant age group)",Italy,ITA,100.746727,101.8428421,104.6226883,101.1965103,100.5404968,100.1149826,100.0532303,97.47013855,98.74485016,97.45059204,..,..
"Primary completion rate, female (% of relevant age group)",Jamaica,JAM,98.75821686,88.99324799,..,..,..,..,86.60948181,85.81449127,88.46803284,85.17263794,84.29859161,..
"Primary completion rate, female (% of relevant age group)",Japan,JPN,..,..,..,..,..,..,..,..,..,..,..,..
"Primary completion rate, female (% of relevant age group)",Jordan,JOR,92.19744873,95.81932831,76.53875732,..,72.90828705,74.5267868,..,72.09249115,71.07167816,72.2363205,81.53488159,..
"Primary completion rate, female (% of relevant age group)",Kazakhstan,KAZ,..,93.08950043,114.3380814,108.189537,109.7553482,115.1717987,114.3838882,110.0031967,110.2613602,111.6650925,106.9596329,..
"Primary completion rate, female (% of relevant age group)",Kenya,KEN,..,..,..,..,..,97.89315033,99.6445694,100.0846176,..,..,..,..
"Primary completion rate, female (% of relevant age group)",Kiribati,KIR,105.5412369,95.07245636,..,..,..,118.0278931,..,103.1774063,..,..,..,..
"Primary completion rate, female (% of relevant age group)","Korea, Dem. People’s Rep.",PRK,..,..,..,..,..,..,..,..,..,..,..,..
"Primary completion rate, female (% of relevant age group)","Korea, Rep.",KOR,99.31098938,105.0395203,102.8564682,109.3482819,103.2344589,95.69410706,101.2702484,97.8969574,91.13162231,95.21920776,..,..
"Primary completion rate, female (% of relevant age group)",Kosovo,XKX,..,..,..,..,..,..,..,..,..,..,..,..
"Primary completion rate, female (% of relevant age group)",Kuwait,KWT,..,97.93933868,99.10028839,97.87522888,101.5040512,..,..,104.2695313,98.07499695,97.5434494,93.49935913,..
"Primary completion rate, female (% of relevant age group)",Kyrgyz Republic,KGZ,..,93.21774292,95.06272125,95.61018372,98.9866333,101.7710495,107.7453308,101.4136124,101.1781006,104.4391022,107.5146332,..
"Primary completion rate, female (% of relevant age group)",Lao PDR,LAO,..,61.44512939,88.06243896,92.59841919,97.26261139,99.0938797,99.39418793,98.35605621,100.6919403,97.11763,92.03929901,..
"Primary completion rate, female (% of relevant age group)",Latvia,LVA,..,98.8465271,98.98338318,98.49459839,98.75627136,99.92059326,101.0671768,97.98879242,99.00700378,99.19602203,..,..
"Primary completion rate, female (% of relevant age group)",Lebanon,LBN,..,..,..,..,..,..,..,..,..,..,..,..
"Primary completion rate, female (% of relevant age group)",Lesotho,LSO,69.08973694,65.65836334,94.8768692,92.83068848,93.13606262,91.37523651,90.72637939,93.52546692,..,..,..,..
"Primary completion rate, female (% of relevant age group)",Liberia,LBR,..,..,61.04032898,..,..,54.94628143,..,..,58.04248047,..,..,..
"Primary completion rate, female (% of relevant age group)",Libya,LBY,..,..,..,..,..,..,..,..,..,..,..,..
"Primary completion rate, female (% of relevant age group)",Liechtenstein,LIE,..,..,100.4608307,98.9743576,..,84.45596313,112.5,103.0927811,84.7715683,111.1702118,..,..
"Primary completion rate, female (% of relevant age group)",Lithuania,LTU,..,101.7944717,97.77615356,100.5485382,101.4021225,100.6939087,100.7263718,102.0637207,101.9060287,104.4646378,..,..
"Primary completion rate, female (% of relevant age group)",Luxembourg,LUX,..,..,86.677742,86.66004944,85.34082794,81.51957703,80.03999329,79.70628357,81.84523773,78.53385925,..,..
"Primary completion rate, female (% of relevant age group)","Macao SAR, China",MAC,116.3450623,101.4536285,95.46578979,93.20603943,89.79885101,93.58706665,94.48161316,96.47847748,102.1795502,102.823761,104.8668518,..
"Primary completion rate, female (% of relevant age group)",Madagascar,MDG,35.78155899,36.86344147,71.63420105,70.4601593,69.68187714,70.17804718,70.7379303,69.75856018,..,68.07849121,65.77728271,..
"Primary completion rate, female (% of relevant age group)",Malawi,MWI,25.90184975,59.20734024,72.25063324,74.61209869,80.10286713,80.61389923,..,..,..,..,85.02787018,..
"Primary completion rate, female (% of relevant age group)",Malaysia,MYS,89.02606201,100.7618713,100.7009811,107.901062,103.9785614,103.2281494,102.6786728,101.4403076,101.0856476,..,..,..
"Primary completion rate, female (% of relevant age group)",Maldives,MDV,..,..,..,..,..,..,98.16101074,100.5470886,92.34973145,93.70510101,93.09570313,..
"Primary completion rate, female (% of relevant age group)",Mali,MLI,..,23.97606087,51.73067856,49.82756042,..,49.74921036,48.04561996,47.86235809,47.1409111,..,..,..
"Primary completion rate, female (% of relevant age group)",Malta,MLT,101.35569,109.1648178,103.9122086,92.49011993,96.2244873,106.6945572,101.6877594,102.9796066,99.58548737,101.8508987,..,..
"Primary completion rate, female (% of relevant age group)",Marshall Islands,MHL,..,..,89.38053131,..,..,..,..,72.78646088,..,..,77.01452637,..
"Primary completion rate, female (% of relevant age group)",Mauritania,MRT,21.0770607,..,..,71.01896667,73.74546051,70.97779846,72.48889923,..,72.091362,79.6911087,80.36560059,..
"Primary completion rate, female (% of relevant age group)",Mauritius,MUS,113.5098267,102.0124893,99.04210663,97.28588104,99.70256805,98.05899048,102.5028229,102.4035568,97.93852234,101.9052505,100.9483719,..
"Primary completion rate, female (% of relevant age group)",Mexico,MEX,..,96.278862,100.240593,106.6098175,109.9265518,110.774292,105.0175323,104.0164719,104.3209686,102.6292801,..,..
"Primary completion rate, female (% of relevant age group)","Micronesia, Fed. Sts.",FSM,..,..,..,..,..,..,..,89.65818787,..,..,87.66066742,..
"Primary completion rate, female (% of relevant age group)",Moldova,MDA,..,..,90.17375183,89.96170807,92.71388245,92.40325928,91.06886292,89.85061646,88.45005035,88.83602905,86.95771027,..
"Primary completion rate, female (% of relevant age group)",Monaco,MCO,..,..,..,..,..,..,..,..,..,..,..,..
"Primary completion rate, female (% of relevant age group)",Mongolia,MNG,..,89.29968262,..,..,..,..,97.63236237,92.62698364,90.45368195,101.8847809,..,..
"Primary completion rate, female (% of relevant age group)",Montenegro,MNE,..,..,75.76631165,101.7132263,..,..,96.28633118,89.5905838,90.78562164,94.32662201,97.38095093,..
"Primary completion rate, female (% of relevant age group)",Morocco,MAR,41.37134171,52.14525986,87.04839325,96.44651794,95.51174927,95.44966125,95.2722168,94.56421661,93.51541901,94.4017334,97.70501709,..
"Primary completion rate, female (% of relevant age group)",Mozambique,MOZ,21.9964695,12.87238026,49.94221878,47.74272919,45.7004509,45.46580887,45.75094986,..,44.05524063,48.80506897,51.2865715,..
"Primary completion rate, female (% of relevant age group)",Myanmar,MMR,..,74.10453033,..,..,..,..,..,..,..,94.77941895,..,..
"Primary completion rate, female (% of relevant age group)",Namibia,NAM,..,94.29888916,..,92.53443909,95.22614288,..,..,..,..,96.91571808,..,..
"Primary completion rate, female (% of relevant age group)",Nauru,NRU,..,..,..,103.8461533,..,105.8823471,..,133.3333282,..,..,107.627121,..
"Primary completion rate, female (% of relevant age group)",Nepal,NPL,..,56.77590942,..,109.1658707,110.4188309,114.8125,117.1950378,121.8397598,125.3845215,..,123.2130203,..
"Primary completion rate, female (% of relevant age group)",Netherlands,NLD,..,..,..,..,..,..,..,..,..,..,..,..
"Primary completion rate, female (% of relevant age group)",New Caledonia,NCL,..,..,..,..,..,..,..,..,..,..,..,..
"Primary completion rate, female (% of relevant age group)",New Zealand,NZL,..,..,..,..,..,..,..,..,..,..,..,..
"Primary completion rate, female (% of relevant age group)",Nicaragua,NIC,..,70.25470734,..,..,..,..,..,..,..,..,..,..
"Primary completion rate, female (% of relevant age group)",Niger,NER,10.96784973,14.54074955,37.61721039,41.5736084,42.24362183,50.74103928,..,65.04421997,..,..,57.30694962,..
"Primary completion rate, female (% of relevant age group)",Nigeria,NGA,..,73.73114777,..,..,..,..,..,..,..,..,..,..
"Primary completion rate, female (% of relevant age group)",North Macedonia,MKD,..,95.20691681,..,..,88.9575119,90.01673889,91.16641235,..,90.79467773,92.85910797,..,..
"Primary completion rate, female (% of relevant age group)",Northern Mariana Islands,MNP,..,..,..,..,..,..,..,..,..,..,..,..
"Primary completion rate, female (% of relevant age group)",Norway,NOR,95.4610672,98.72254944,98.13786316,100.445137,100.9697495,98.91716003,97.8888092,100.5684128,100.6029892,99.14031982,..,..
"Primary completion rate, female (% of relevant age group)",Oman,OMN,62.13864899,82.03125,98.6861496,100.9567337,97.70976257,105.1970978,100.380127,103.6220932,105.8920822,103.4566727,105.5587311,..
"Primary completion rate, female (% of relevant age group)",Pakistan,PAK,..,..,54.4838295,58.40758133,58.37319183,58.68865967,..,58.84320068,..,64.24922943,67.29955292,..
"Primary completion rate, female (% of relevant age group)",Palau,PLW,..,83.33332825,..,..,114.5454483,94.69026947,..,..,..,..,..,..
"Primary completion rate, female (% of relevant age group)",Panama,PAN,..,91.48468018,98.29656219,100.354599,99.02774048,95.49484253,..,..,89.05072021,..,..,..
"Primary completion rate, female (% of relevant age group)",Papua New Guinea,PNG,37.20843887,45.80651093,..,..,..,66.64527893,..,71.52944183,..,..,..,..
"Primary completion rate, female (% of relevant age group)",Paraguay,PRY,65.43131256,92.11963654,89.64051819,88.8147583,..,..,..,..,..,..,..,..
"Primary completion rate, female (% of relevant age group)",Peru,PER,..,95.68309784,99.7383728,94.86151123,97.51477051,98.95202637,101.2932434,104.1294937,95.9728775,94.08625793,95.95271301,..
"Primary completion rate, female (% of relevant age group)",Philippines,PHL,..,..,..,..,..,101.7200699,..,..,109.614151,113.3933105,..,..
"Primary completion rate, female (% of relevant age group)",Poland,POL,..,..,93.29421234,94.396492,96.36347961,96.83519745,100.4664917,102.7631683,107.6129227,93.95021057,..,..
"Primary completion rate, female (% of relevant age group)",Portugal,PRT,..,..,..,..,..,..,..,..,..,99.45384216,..,..
"Primary completion rate, female (% of relevant age group)",Puerto Rico,PRI,..,..,..,..,..,..,81.56973267,..,..,72.73535156,..,..
"Primary completion rate, female (% of relevant age group)",Qatar,QAT,75.21726227,..,99.10188293,..,98.79875946,95.78143311,93.57945251,94.02954865,94.25887299,94.85153961,93.65133667,..
"Primary completion rate, female (% of relevant age group)",Romania,ROU,90.20519257,93.77456665,99.37016296,96.55185699,..,..,94.69706726,92.0419693,..,85.19020844,..,..
"Primary completion rate, female (% of relevant age group)",Russian Federation,RUS,..,..,..,..,..,100.3552628,100.8874664,96.70748138,..,101.4417801,..,..
"Primary completion rate, female (% of relevant age group)",Rwanda,RWA,41.4486084,23.09575081,..,75.8168335,74.97601318,68.41544342,68.98980713,75.53838348,88.13646698,93.76998138,104.1285095,..
"Primary completion rate, female (% of relevant age group)",Samoa,WSM,..,95.50093079,108.6753693,103.5950775,..,104.9786606,112.0332031,109.6542435,109.6119919,103.752182,112.4234467,..
"Primary completion rate, female (% of relevant age group)",San Marino,SMR,..,84.25196838,109.774437,124.2647095,..,..,..,..,..,125,127.5862122,..
"Primary completion rate, female (% of relevant age group)",Sao Tome and Principe,STP,..,..,109.5344696,..,97.24507141,89.04705048,..,79.76899719,87.22080231,..,..,..
"Primary completion rate, female (% of relevant age group)",Saudi Arabia,SAU,..,..,100.7297821,107.2212296,108.9214783,118.4668579,109.6683884,99.28475952,104.4846878,96.50198364,95.95326996,..
"Primary completion rate, female (% of relevant age group)",Senegal,SEN,33.0617218,32.9914093,62.33993912,62.79431152,63.79452133,65.23497009,63.56888962,..,..,..,67.19380188,..
"Primary completion rate, female (% of relevant age group)",Serbia,SRB,..,..,104.2455292,98.24082184,99.29550934,102.2636566,101.0756073,98.29650116,99.09481812,98.85852814,98.42725372,..
"Primary completion rate, female (% of relevant age group)",Seychelles,SYC,..,100.7722015,112.7760315,103.4865265,102.377182,107.5471725,110.4615402,112.6865692,99.5658493,105.1966324,103.1420822,..
"Primary completion rate, female (% of relevant age group)",Sierra Leone,SLE,..,..,65.88548279,62.65966034,61.57624817,..,59.44200134,67.46497345,69.35388184,82.85494232,83.71469116,..
"Primary completion rate, female (% of relevant age group)",Singapore,SGP,..,..,..,..,..,..,..,99.18698883,99.25125122,100.0259094,..,..
"Primary completion rate, female (% of relevant age group)",Sint Maarten (Dutch part),SXM,..,..,..,88.5304718,..,126.0869598,..,..,..,..,..,..
"Primary completion rate, female (% of relevant age group)",Slovak Republic,SVK,..,95.55487061,95.70146942,93.57112122,94.22223663,96.59658051,95.58026123,92.16113281,92.26225281,92.5414505,..,..
"Primary completion rate, female (% of relevant age group)",Slovenia,SVN,..,94.97409058,96.52391052,102.2950134,99.74450684,100.3497314,98.2854538,99.24446869,95.38961029,98.14215851,..,..
"Primary completion rate, female (% of relevant age group)",Solomon Islands,SLB,..,..,86.47852325,85.9375,85.90901947,87.15424347,88.15003967,89.47589874,90.36344147,89.74324036,..,..
